Date,Close/Last,Volume,Open,High,Low,Day
02/24/2025,212.71,42387590,217.45,217.72,212.42,0
02/21/2025,216.58,55323850,223.28,223.31,214.74,1
02/20/2025,222.88,30001670,224.78,225.13,221.81,2
02/19/2025,226.63,28566710,225.52,226.83,223.71,3
02/18/2025,226.65,42975130,228.82,229.30,223.72,4
02/14/2025,228.68,27031080,229.20,229.89,227.23,5
02/13/2025,230.37,31346510,228.85,230.42,227.52,6
02/12/2025,228.93,32285250,230.46,231.18,228.16,7
02/11/2025,232.76,23713730,231.92,233.44,230.13,8
02/10/2025,233.14,35419930,230.55,233.92,229.20,9
02/07/2025,229.15,77539280,232.50,234.81,228.06,10
02/06/2025,238.83,60897100,238.01,239.66,236.01,11
02/05/2025,236.17,38832040,237.02,238.32,235.20,12
02/04/2025,242.06,29713810,239.01,242.52,238.03,13
02/03/2025,237.42,37285870,234.06,239.25,232.90,14
01/31/2025,237.68,36162380,236.50,240.29,236.41,15
01/30/2025,234.64,32020730,237.14,237.95,232.22,16
01/29/2025,237.07,26091720,239.02,240.39,236.15,17
01/28/2025,238.15,41587190,234.29,241.77,233.98,18
01/27/2025,235.42,49428330,226.21,235.61,225.86,19
01/24/2025,234.85,25890740,234.50,236.40,232.93,20
01/23/2025,235.42,26404360,234.10,235.52,231.51,21
01/22/2025,235.01,41448220,232.02,235.44,231.19,22
01/21/2025,230.71,39951460,228.90,231.78,226.94,23
01/17/2025,225.94,42370120,225.84,226.51,223.08,24
01/16/2025,220.66,24757280,224.42,224.65,220.31,25
01/15/2025,223.35,31291260,222.83,223.57,220.75,26
01/14/2025,217.76,24711650,220.44,221.82,216.20,27
01/13/2025,218.46,27262660,218.06,219.40,216.47,28
01/10/2025,218.94,36811530,221.46,221.71,216.50,29
01/08/2025,222.13,25033290,223.19,223.52,220.20,30
01/07/2025,222.11,28084160,227.90,228.38,221.46,31
01/06/2025,227.61,31849830,226.78,228.84,224.84,32
01/03/2025,224.19,27515610,222.51,225.36,221.62,33
01/02/2025,220.22,33956580,222.03,225.15,218.19,34
12/31/2024,219.39,24819660,222.97,223.23,218.94,35
12/30/2024,221.30,28321240,220.06,223.00,218.43,36
12/27/2024,223.75,27367150,225.60,226.03,220.90,37
12/26/2024,227.05,16174500,228.50,228.50,226.67,38
12/24/2024,229.05,15007500,226.94,229.14,226.13,39
12/23/2024,225.06,28070010,225.01,226.88,223.90,40
12/20/2024,224.92,88279180,219.84,226.21,218.73,41
12/19/2024,223.29,39918740,224.91,226.09,222.92,42
12/18/2024,220.52,43281440,230.77,231.40,220.11,43
12/17/2024,231.15,35948130,232.39,232.73,227.85,44
12/16/2024,232.93,37552100,230.23,233.00,228.01,45
12/13/2024,227.46,28768080,228.40,230.20,225.86,46
12/12/2024,228.97,28204080,229.83,231.09,227.63,47
12/11/2024,230.26,35385790,226.41,231.20,226.26,48
12/10/2024,225.04,31199860,226.09,229.06,224.20,49
12/09/2024,226.09,46819360,227.21,230.08,225.67,50
12/06/2024,227.03,44178070,220.75,227.15,220.60,51
12/05/2024,220.55,41140220,218.03,222.15,217.30,52
12/04/2024,218.16,48745720,215.96,220.00,215.75,53
12/03/2024,213.44,32214830,210.31,214.02,209.65,54
12/02/2024,210.71,39523190,209.96,212.99,209.51,55
11/29/2024,207.89,24892450,205.83,208.20,204.59,56
11/27/2024,205.74,28061640,206.98,207.64,205.05,57
11/26/2024,207.86,41673740,201.90,208.00,201.79,58
11/25/2024,201.45,40685670,199.28,201.95,199.00,59
11/22/2024,197.12,31530840,198.25,199.26,196.75,60
11/21/2024,198.38,58800040,203.49,203.49,195.75,61
11/20/2024,202.88,32768990,202.98,203.13,199.45,62
11/19/2024,204.61,31197870,199.33,205.30,198.78,63
11/18/2024,201.70,36512470,204.15,204.67,200.95,64
11/15/2024,202.61,86591140,206.76,207.34,199.61,65
11/14/2024,211.48,42620310,214.16,215.90,210.88,66
11/13/2024,214.10,46212940,209.40,215.09,209.14,67
11/12/2024,208.91,38942920,208.37,209.54,206.01,68
11/11/2024,206.84,35456010,208.50,209.65,205.59,69
11/08/2024,208.18,36075850,209.72,209.96,207.44,70
11/07/2024,210.05,52878380,207.44,212.25,207.19,71
11/06/2024,207.09,72292170,200.01,207.55,199.14,72
11/05/2024,199.50,30564780,196.04,199.82,195.99,73
11/04/2024,195.78,38492060,196.45,197.33,194.31,74
11/01/2024,197.93,99687850,199.00,200.50,197.02,75
10/31/2024,186.40,75146760,190.51,190.60,185.23,76
10/30/2024,192.73,37707550,194.70,195.61,192.42,77
10/29/2024,190.83,35690160,188.58,191.46,187.82,78
10/28/2024,188.39,27930840,189.57,190.21,188.21,79
10/25/2024,187.83,29362060,187.85,190.45,187.53,80
10/24/2024,186.38,21647400,185.25,187.11,183.86,81
10/23/2024,184.71,31937090,188.85,189.16,183.69,82
10/22/2024,189.70,29650590,188.35,191.52,186.98,83
10/21/2024,189.07,24639390,188.05,189.46,186.40,84
10/18/2024,188.99,37417670,187.15,190.74,186.28,85
10/17/2024,187.53,25039410,188.22,188.94,186.00,86
10/16/2024,186.89,23456810,187.05,187.78,185.61,87
10/15/2024,187.69,32178930,187.63,188.41,184.58,88
10/14/2024,187.54,22614410,189.78,189.83,187.36,89
10/11/2024,188.82,25751560,186.63,189.93,186.30,90
10/10/2024,186.65,27785040,187.13,188.13,185.83,91
10/09/2024,185.17,26343120,182.82,185.85,182.05,92
10/08/2024,182.72,26372090,181.92,183.09,180.92,93
10/07/2024,180.80,42364200,182.95,183.60,180.25,94
10/04/2024,186.51,41079010,185.75,187.60,183.60,95
10/03/2024,181.96,30204300,183.05,183.44,180.88,96
10/02/2024,184.76,23704060,184.44,186.60,184.04,97
10/01/2024,185.13,36044910,184.90,186.19,183.45,98
09/30/2024,186.33,41680400,187.14,188.49,184.65,99
09/27/2024,187.97,36002320,190.68,190.90,187.34,100
09/26/2024,191.16,36334850,194.31,194.53,189.54,101
09/25/2024,192.53,26391140,193.75,193.95,192.16,102
09/24/2024,193.96,43478930,194.27,195.37,190.13,103
09/23/2024,193.88,36993110,191.64,194.45,190.57,104
09/20/2024,191.60,100378600,190.23,191.84,187.41,105
09/19/2024,189.87,39543170,190.04,190.99,188.47,106
09/18/2024,186.43,34448130,186.45,188.80,185.06,107
09/17/2024,186.88,26091680,186.85,189.45,186.14,108
09/16/2024,184.89,26065490,185.29,185.81,183.36,109
09/13/2024,186.49,26495350,187.00,188.50,185.91,110
09/12/2024,187.00,33622480,184.80,187.41,183.54,111
09/11/2024,184.52,42564700,180.10,184.99,175.73,112
09/10/2024,179.55,36233800,177.49,180.50,176.79,113
09/09/2024,175.40,29037360,174.53,175.85,173.51,114
09/06/2024,171.39,41466540,177.24,178.38,171.16,115
09/05/2024,177.89,40170530,175.00,179.88,175.00,116
09/04/2024,173.33,30309230,174.48,175.98,172.54,117
09/03/2024,176.25,37817510,177.55,178.26,175.26,118
08/30/2024,178.50,43429360,172.78,178.90,172.60,119
08/29/2024,172.12,26407820,173.22,174.29,170.81,120
08/28/2024,170.80,29045030,173.69,173.69,168.92,121
08/27/2024,173.12,29841980,174.15,174.89,172.25,122
08/26/2024,175.50,22366240,176.70,177.47,174.30,123
08/23/2024,177.04,29150090,177.34,178.97,175.24,124
08/22/2024,176.13,32047480,181.38,181.47,175.68,125
08/21/2024,180.11,35599120,179.92,182.39,178.89,126
08/20/2024,178.88,26255200,177.92,179.01,177.43,127
08/19/2024,178.22,31129810,177.64,178.30,176.16,128
08/16/2024,177.06,31489180,177.04,178.34,176.26,129
08/15/2024,177.59,51698510,174.86,177.91,173.99,130
08/14/2024,170.10,28843800,172.11,172.28,168.86,131
08/13/2024,170.23,39237920,167.81,171.04,167.10,132
08/12/2024,166.80,30072790,168.14,168.55,166.11,133
08/09/2024,166.94,36401050,166.40,168.55,165.85,134
08/08/2024,165.80,44616210,165.17,166.69,162.55,135
08/07/2024,162.77,48408240,166.55,167.58,161.43,136
08/06/2024,161.93,59950830,161.71,165.08,158.54,137
08/05/2024,161.02,83149440,154.21,162.96,151.61,138
08/02/2024,167.90,141448400,166.75,168.77,160.55,139
08/01/2024,184.07,70435640,189.29,190.60,181.87,140
07/31/2024,186.98,41667330,185.05,187.94,184.46,141
07/30/2024,181.71,39508570,184.72,185.86,179.38,142
07/29/2024,183.20,33270120,183.84,184.75,182.38,143
07/26/2024,182.50,29505960,180.39,183.19,180.24,144
07/25/2024,179.85,44464160,182.91,183.90,176.80,145
07/24/2024,180.83,41532360,183.20,185.45,180.41,146
07/23/2024,186.41,47537670,184.10,189.39,183.56,147
07/22/2024,182.55,39931920,185.00,185.06,182.48,148
07/19/2024,183.13,43081830,181.14,184.93,180.11,149
07/18/2024,183.75,51043630,189.59,189.68,181.45,150
07/17/2024,187.93,48076140,191.35,191.58,185.99,151
07/16/2024,193.02,33994710,195.59,196.62,192.24,152
07/15/2024,192.72,40683230,194.56,196.19,190.83,153
07/12/2024,194.49,30598530,194.80,196.47,193.83,154
07/11/2024,195.05,44565040,200.09,200.27,192.86,155
07/10/2024,199.79,32883750,200.00,200.11,197.69,156
07/09/2024,199.34,32756740,199.40,200.57,199.05,157
07/08/2024,199.29,34767260,200.04,201.20,197.96,158
07/05/2024,200.00,39858890,198.65,200.55,198.17,159
07/03/2024,197.59,31597930,199.94,200.03,196.76,160
07/02/2024,200.00,45600010,197.28,200.43,195.93,161
